playerID,inducted,round,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cobbty01,Y,WS,20,1,4,0,1,0,0,0,1.0,0,3,0.0,1.0,0.0,0.0,1.0
ruthba01,Y,WS,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
wagneho01,Y,WS,27,2,6,1,0,0,3,3,1.0,3,4,0.0,1.0,1.0,0.0,0.0
mathech01,Y,WS,8,1,2,0,0,0,0,0,0.0,1,1,0.0,0.0,2.0,0.0,0.0
johnswa01,Y,WS,9,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
speaktr01,Y,WS,30,4,9,1,2,0,2,1,1.0,4,2,0.0,0.0,0.0,0.0,1.0
youngcy01,Y,CS,11,1,1,0,0,0,0,0,,0,5,0.0,,,,
alexape01,Y,WS,5,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
collied01,Y,WS,21,5,9,4,0,0,3,4,2.0,2,0,0.0,0.0,1.0,0.0,0.0
ansonca01,Y,WS,26,8,11,1,1,0,0,0,,2,0,0.0,,,,
comisch01,Y,WS,24,6,7,0,0,0,0,0,,0,0,0.0,,,,
ewingbu01,Y,WS,26,5,9,0,2,1,6,5,,1,3,0.0,,,,
gehrilo01,Y,WS,23,1,8,2,0,0,4,0,0.0,5,4,1.0,0.0,1.0,0.0,0.0
radboch01,Y,WS,10,1,1,0,0,0,2,0,,1,3,0.0,,,,
hornsro01,Y,WS,28,2,7,1,0,0,4,1,0.0,2,2,0.0,0.0,1.0,0.0,1.0
bresnro01,Y,WS,16,3,5,2,0,0,1,1,0.0,4,0,1.0,2.0,0.0,0.0,0.0
broutda01,Y,WS,3,0,2,0,0,0,0,0,,0,0,0.0,,,,
clarkfr01,Y,WS,34,3,9,2,1,0,2,1,0.0,1,5,0.0,0.0,0.0,0.0,0.0
colliji01,Y,WS,36,5,9,1,2,0,1,3,0.0,1,1,0.0,0.0,0.0,0.0,1.0
duffyhu01,Y,CS,26,3,12,3,2,1,9,3,,1,0,0.0,,,,
kellyki01,Y,WS,26,9,9,3,1,0,0,0,,2,0,0.0,,,,
orourji01,Y,WS,36,4,8,0,0,0,1,3,,4,2,0.0,,,,
burkeje01,Y,CS,25,3,8,1,0,0,1,4,,0,2,0.0,,,,
chancfr01,Y,WS,21,3,5,1,0,0,0,2,1.0,2,1,0.0,2.0,0.0,0.0,0.0
eversjo01,Y,WS,20,2,3,1,0,0,1,2,1.0,1,3,0.0,0.0,0.0,0.0,0.0
mccarto01,Y,WS,41,10,10,1,0,1,9,6,,0,0,0.0,,,,
mcginjo01,Y,WS,5,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
